CO,POLICYNO,RECTYP,ACTYR,ACTMO,DEPEFFYR,DEPEFFMO,DEPEFFDAY,DEPLDGYR,DEPLDGMO,DEPLDGDAY,DEPAMOUNT,PREMIND
GALIC,2033768,24,2018,6,2018,6,7,2018,6,13,4500,S
GALIC,2033768,24,2018,6,2018,6,7,2018,6,7,-5000,S
GALIC,2033774,24,2018,6,2018,6,27,2018,6,27,100,P
GALIC,2033774,24,2018,6,2018,6,20,2018,6,20,100,P
GALIC,2034057,24,2018,6,2018,6,27,2018,6,27,-1284.4,S
GALIC,2034139,24,2018,6,2018,6,27,2018,6,27,-89.57,S
GALIC,2034210,24,2018,6,2018,6,1,2018,6,1,-1388.77,S
GALIC,2034442,24,2018,6,2018,6,27,2018,6,27,-290.47,S
GALIC,2034451,24,2018,6,2018,6,15,2018,6,15,-261.23,S
GALIC,2034750,24,2018,6,2018,6,20,2018,6,20,150,P
GALIC,2034785,24,2018,6,2018,6,1,2018,6,1,-267.27,S
GALIC,2034830,24,2018,6,2018,6,15,2018,6,15,-50.92,S
GALIC,2034923,24,2018,6,2018,6,28,2018,6,29,-17026.13,S
GALIC,2034923,24,2018,6,2018,6,6,2018,6,6,50,P
GALIC,2034930,24,2018,6,2018,6,12,2018,6,12,-484.53,S
GALIC,2035129,24,2018,6,2018,6,26,2018,6,26,10,P
GALIC,2035129,24,2018,6,2018,6,8,2018,6,8,10,P
GALIC,2035160,24,2018,6,2018,6,27,2018,6,27,25,P
GALIC,2035160,24,2018,6,2018,6,13,2018,6,13,25,P
GALIC,2035798,24,2018,6,2018,6,29,2018,6,29,-8105.68,S
